Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
PING AN BANK,10.38,110.903M,200.851B,Finance
CHINA VANKE CO,6.47,95.525M,71.524B,Finance
SHENZHEN GUOHUA NE,10.48,7.015M,1.362B,Electronic technology
SHN ZHENYE GROUP,3.86,27.082M,5.103B,Finance
SHENZHEN QUANXINHA,4.27,1.337M,1.507B,Consumer services
CHINA HIGH-SPEED R,2,19.79M,5.514B,Transportation
CHINA BAOAN GROUP,7.46,8.127M,19.473B,Producer manufacturing
SHENZHEN ECOBEAUTY,1.69,15.435M,1.943B,Non-energy minerals
SHN PROPS &RES DEV,7.53,8.535M,4.189B,Finance
CSG HOLDING CO,4.99,6.858M,12.189B,Consumer durables
SHAHE INDUSTRIAL C,7.96,4.243M,1.956B,Finance
KONKA GROUP,2.61,115.152M,5.113B,Consumer durables
SHENZHEN CHINA BIC,5.28,24.784M,2.799B,Consumer durables
SHENZHEN CEREALS H,5.72,1.89M,6.512B,Consumer non-durables
S/Z ZHONGHENG HUAF,10.88,21.549M,2.128B,Electronic technology
SHENZHEN KAIFA TEC,12.75,24.236M,20.413B,Electronic technology
SHN TELLUS HLDNGS,13.31,1.912M,5.4B,Finance
FIYTA PRECISION TE,8.76,5.42M,3.386B,Retail trade
SHN ENERGY GROUP,6.56,9.588M,31.018B,Utilities
CN ACCORD MEDICINE,25.76,3.844M,13.536B,Health technology
SHN SEZ REAL EST,10.52,1.521M,9.693B,Finance
FAWER AUTOMOTIVE P,4.53,5.476M,7.508B,Producer manufacturing
GRANDJOY HOLDINGS,2.3,8.978M,10.073B,Finance
SHENZHEN SED INDUS,12.31,7.911M,14.236B,Electronic technology
DIGITAL CHINA GROU,23.38,32.009M,15.057B,Electronic technology
CHINA TIANYING INC,4.12,10.39M,10.499B,Industrial services
CHINA UNION HOLD L,2.82,4.517M,4.179B,Finance
SHENZHEN NANSHAN P,7.15,4.252M,2.837B,Utilities
CHINA INTL MARINE,7.29,14.927M,32.778B,Process industries
TUNGHSU AZURE RENE,1.22,87.19M,1.725B,Transportation
SHN CENTRALCON INV,3.63,9.542M,2.463B,Consumer durables
SHN TEXTILE HLDGS,7.74,15.402M,3.833B,Consumer durables
SHENZHEN KINGKEY S,13.21,2.784M,6.993B,Finance
SHENZHEN DESAY BAT,22.19,6.592M,8.703B,Producer manufacturing
TIANMA MICROELECTR,6.64,9.747M,16.639B,Electronic technology
CHINA FANGDA GP CO,3.31,2.507M,2.839B,Producer manufacturing
SHENZHEN WONGTEE I,1.66,15.454M,1.814B,Finance
SHN SEG CO,5.3,27.774M,5.846B,Electronic technology
NORTH HUAJIN CHEMI,3.89,6.1M,6.318B,Energy minerals
SHN ZHONGJIN LINGN,4.05,26.769M,15.363B,Distribution services
SHENZHEN AGRICULTU,5.02,4.137M,8.587B,Process industries
SHN HUAQIANG IND,15.43,42.537M,14.674B,Distribution services
ZTE CORP,24.08,102.062M,112.767B,Electronic technology
NORINCO INTL CO,8.54,9.421M,8.858B,Distribution services
CHINA GREATWALL TE,7.57,16.63M,25.064B,Electronic technology
SHENZHEN HUAKONG S,2.61,34.903M,2.799B,Distribution services
SHENZHEN OVERSEAS,1.89,43.297M,15.196B,Consumer services
