Name,Stock Price,Market cap,Percentage change,Industry
RELIANCE INDUSTRIES LTD        ,"3,025.20",242B,17.03%,Other Oil & Gas Refining and Marketing
TATA CONSULTANCY SERVICES        ,"4,502.45",193B,18.69%,Other IT Services & Consulting
HDFC BANK LIMITED          ,"1,639.95",148B,-4.05%,Other Banks
BHARTI AIRTEL LIMITED        ,"1,513.65",107B,46.55%,Wireless Telecom
ICICI BANK LIMITED         ,"1,213.30",101B,21.74%,Commercial Banks
INFOSYS LIMITED        ,"1,876.15",92.02B,21.60%,Other IT Services & Consulting
STATE BANK OF INDIA         ,815.05,86.82B,26.94%,Other Banks
LIFE INSURANCE CORPORATIO          ,"1,052.05",80.1B,26.37%,Life Insurance
HINDUSTAN UNILEVER LIMITE        ,"2,820.70",78.89B,5.91%,Other Personal Products
ITC LIMITED        ,505.7,75.47B,9.44%,Cigars & Cigarette Manufacturing
LARSEN TOUBRO LIMITED        ,"3,640.10",59.01B,3.21%,Other Construction & Engineering
HCL TECHNOLOGIES LIMITED        ,"1,719.45",53.65B,17.28%,Other IT Services & Consulting
SUN PHARMACEUTICAL INDUST        ,"1,772.45",50.84B,40.73%,Generic Pharmaceuticals
BAJAJ FINANCE LIMITED         ,"6,778.35",49.67B,-7.50%,Other Consumer Lending
OIL AND NATURAL GAS CORPO        ,327.85,47.87B,59.89%,Oil Exploration & Production - Offshore
TATA MOTORS LIMITED         ,"1,092.15",47.58B,39.88%,Other Auto & Truck Manufacturers
NTPC LTD        ,414.85,46.5B,33.33%,Other Independent Power Producers
MARUTI SUZUKI INDIA LTD        ,"12,243.80",46.15B,18.84%,Automobiles & Multi Utility Vehicles
KOTAK MAHINDRA BANK LIMIT         ,"1,812.80",43.11B,-4.99%,Other Banks
AXIS BANK LIMITED         ,"1,170.05",43.01B,6.08%,Other Banks
ADANI ENTERPRISES LIMITED        ,"3,068.90",41.84B,7.72%,Diversified Industrial Goods Wholesale
COAL INDIA LIMITED        ,538.1,39.62B,43.11%,Other Coal
ULTRATECH CEMENT LIMITED        ,"11,337.10",39B,7.94%,Other Construction Materials
HINDUSTAN AERONAUTICS LIM         ,"4,802.00",38.48B,71.26%,Other Aerospace & Defense
ADANI PORTS SPECIAL ECONO        ,"1,482.55",38.44B,44.73%,Other Marine Port Services
AVENUE SUPERMARTS LIMITED         ,"4,959.40",38.06B,21.48%,Supermarkets & Convenience Stores
TITAN COMPANY LIMITED         ,"3,630.20",37.8B,-1.24%,Jewelry
POWER GRID CORPORATION OF        ,338.25,37.31B,42.60%,Other Electric Utilities
MAHINDRA MAHINDRA LIMITED        ,"2,793.10",36.7B,61.51%,Other Auto & Truck Manufacturers
ASIAN PAINTS LIMITED         ,"3,171.35",36.1B,-6.79%,Paint & Coating
ADANI GREEN ENERGY LIMITE         ,"1,888.90",35.93B,18.28%,Renewable IPPs
BAJAJ AUTO LIMITED        ,"10,406.45",34.75B,53.10%,Motorcycles & Scooters
WIPRO LIMITED        ,519.9,31.94B,10.22%,Other IT Services & Consulting
BAJAJ FINSERV LTD        ,"1,686.20",31.19B,0.02%,Other Consumer Lending
ADANI POWER LIMITED        ,661.3,31.1B,25.93%,Other Independent Power Producers
SIEMENS LIMITED        ,"7,043.05",29.84B,75.00%,Other Heavy Electrical Equipment
TRENT LIMITED         ,"6,924.50",29.48B,126.58%,Retail - Department Stores
NESTLE INDIA LIMITED        ,"2,519.05",29.1B,-5.28%,Other Food Processing
INDIAN RAILWAY FINANCE CO          ,181.05,28.6B,82.23%,Other Corporate Financial Services
INDIAN OIL CORPORATION LI        ,173.46,28.45B,33.58%,Other Oil & Gas Refining and Marketing
JSW STEEL LIMITED         ,963.1,2.73TCr,9.39%,"Iron, Steel Mills & Foundries"
ZOMATO LIMITED          ,259.39,2.72TCr,109.69%,Other Internet Services
BHARAT ELECTRONICS LIMITE         ,306.6,2.67TCr,66.54%,Other Aerospace & Defense
HINDUSTAN ZINC LIMITED         ,528.2,2.59TCr,66.10%,Integrated Mining
DLF LIMITED        ,848.8,2.51TCr,16.85%,Other Real Estate Development & Operations
JIO FINANCIAL SERVICES LI          ,327.15,2.48TCr,40.44%,Other Consumer Lending
VARUN BEVERAGES LIMITED         ,"1,576.00",2.45TCr,27.42%,Other Non-Alcoholic Beverages
TATA STEEL LIMITED        ,155.65,2.3TCr,11.58%,Other Steel
GRASIM INDUSTRIES LIMITED         ,"2,736.60",2.22TCr,28.19%,Other Construction Materials
INTERGLOBE AVIATION LIMIT         ,"4,720.10",2.17TCr,59.08%,Other Airlines
SBI LIFE INSURANCE COMPAN          ,"1,796.25",2.14TCr,25.38%,Life Insurance
VEDANTA LIMITED         ,463.1,2.09TCr,79.11%,Integrated Mining
POWER FINANCE CORPORATION        ,514.4,2.03TCr,34.45%,Other Corporate Financial Services
LTIMINDTREE LIMITED         ,"5,739.95",1.99TCr,-8.82%,Other IT Services & Consulting
ABB INDIA LIMITED         ,"7,790.95",1.97TCr,66.69%,Other Heavy Electrical Equipment
PIDILITE INDUSTRIES LIMIT        ,"3,108.65",1.87TCr,14.49%,Diversified Chemicals
HDFC LIFE INSURANCE COMPA          ,725.65,1.87TCr,12.21%,Life Insurance
AMBUJA CEMENTS        ,627.65,1.86TCr,20.48%,Other Construction Materials
REC LIMITED        ,589.85,1.84TCr,42.87%,Other Corporate Financial Services
BHARAT PETROLEUM CORPORAT        ,351.15,1.82TCr,55.84%,Other Oil & Gas Refining and Marketing
HINDALCO INDUSTRIES LIMIT        ,711.65,1.82TCr,15.73%,Other Aluminum
GAIL INDIA LIMITED        ,235.25,1.8TCr,45.13%,Other Natural Gas Utilities
GODREJ CONSUMER PRODUCTS         ,"1,454.75",1.74TCr,28.60%,Other Personal Products
TECH MAHINDRA LIMITED         ,"1,640.15",1.69TCr,28.88%,Other IT Services & Consulting
BRITANNIA INDUSTRIES LIMI          ,"5,796.95",1.66TCr,8.59%,"Cookie, Cracker & Pasta Manufacturing"
EICHER MOTORS LIMITED        ,"4,876.35",1.6TCr,17.70%,Motorcycles & Scooters
SAMVARDHANA MOTHERSON INT        ,197.75,1.6TCr,93.87%,"Other Auto, Truck & Motorcycle Parts"
TATA POWER COMPANY LIMITE         ,422.45,1.59TCr,27.22%,Other Electric Utilities
TVS MOTOR COMPANY LIMITED        ,"2,776.25",1.57TCr,37.11%,Motorcycles & Scooters
BANK OF BARODA         ,251.4,1.56TCr,8.78%,Other Banks
DIVI S LABORATORIES LIMIT        ,"4,926.25",1.54TCr,26.19%,Other Pharmaceuticals
PUNJAB NATIONAL BANK         ,116.16,1.53TCr,21.32%,Other Banks
