Name ,Share price ,M Cap,Industry,Exchange
TOYOTA MOTOR CORPORATION,2665 JPY,249B,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
"MITSUBISHI UFJ FINANCIAL GROUP, INC",1513.5 JPY,123B,Other Banks,Tokyo Stock Exchange
KEYENCE CORPORATION,70440 JPY,116B,Other Electronic Equipment & Parts,Tokyo Stock Exchange
"HITACHI, LTD.",3510 JPY,113B,Consumer Goods Conglomerates,Tokyo Stock Exchange
SONY GROUP CORPORATION,13370 JPY,112B,Other Household Electronics,Tokyo Stock Exchange
"FAST RETAILING CO., LTD.",45050 JPY,92.73B,Other Apparel & Accessories Retailers,Tokyo Stock Exchange
TOKYO ELECTRON LTD.,27805 JPY,88.73B,Other Semiconductor Equipment & Testing,Tokyo Stock Exchange
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",9800 JPY,89.07B,Other Banks,Tokyo Stock Exchange
"RECRUIT HOLDINGS CO., LTD",8800 JPY,90.34B,Outsourcing & Staffing Services,Tokyo Stock Exchange
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,152.4 JPY,87.91B,Other Integrated Telecommunications Services,Tokyo Stock Exchange
SOFTBANK GROUP CORP.,8420 JPY,86.01B,Other Wireless Telecommunications Services,Tokyo Stock Exchange
"SHIN-ETSU CHEMICAL CO., LTD.",6276 JPY,83.72B,Diversified Chemicals,Tokyo Stock Exchange
MITSUBISHI CORPORATION,3027 JPY,83.4B,Diversified Industrial Goods Wholesale,Tokyo Stock Exchange
"CHUGAI PHARMACEUTICAL CO., LTD",7114 JPY,77.51B,Other Pharmaceuticals,Tokyo Stock Exchange
"DAIICHI SANKYO CO., LTD.",5857 JPY,76.38B,Other Pharmaceuticals,Tokyo Stock Exchange
"TOKIO MARINE HOLDINGS, INC.",5450 JPY,73.9B,Other Property & Casualty Insurance,Tokyo Stock Exchange
ITOCHU CORPORATION,7127 JPY,70.18B,Diversified Industrial Goods Wholesale,Tokyo Stock Exchange
KDDI CORPORATION,4839 JPY,68.38B,Other Wireless Telecommunications Services,Tokyo Stock Exchange
"NINTENDO CO., LTD.",8276 JPY,66.09B,"Games, Toys & Children Vehicles",Tokyo Stock Exchange
SOFTBANK CORP.,1995.5 JPY,64.45B,Wireless Telecom,Tokyo Stock Exchange
"MITSUI & CO., LTD.",3035 JPY,61.52B,Diversified Industrial Goods Wholesale,Tokyo Stock Exchange
"MIZUHO FINANCIAL GROUP, INC.",3034 JPY,53.51B,Other Banks,Tokyo Stock Exchange
"HONDA MOTOR CO., LTD.",1556 JPY,51.68B,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
"JAPAN TOBACCO, INC.",4165 JPY,50.16B,Cigars & Cigarette Manufacturing,Tokyo Stock Exchange
TAKEDA PHARMACEUTICAL COMPANY LIMITED,4379 JPY,47.63B,Other Pharmaceuticals,Tokyo Stock Exchange
HOYA CORPORATION,20000 JPY,47.52B,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
DENSO CORPORATION,2250 JPY,45.55B,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"ORIENTAL LAND CO., LTD.",4125 JPY,45.75B,Amusement Parks and Zoos,Tokyo Stock Exchange
"MITSUBISHI HEAVY INDUSTRIES, LTD.",1831.5 JPY,42.45B,Consumer Goods Conglomerates,Tokyo Stock Exchange
"MURATA MANUFACTURING CO., LTD",2917 JPY,37.71B,Electronic Component,Tokyo Stock Exchange
"MS&AD INSURANCE GROUP HOLDINGS, INC.",3301 JPY,36.6B,Other Property & Casualty Insurance,Tokyo Stock Exchange
"DAIKIN INDUSTRIES, LTD.",17585 JPY,35.63B,"Heating, Ventilation & Air Conditioning Systems",Tokyo Stock Exchange
